ID Soal,Kategori,Tipe Soal,Teks Pertanyaan, Opsi A, Opsi B, Opsi C,Opsi D,Kunci Jawaban,Bobot Nilai,Status Validasi,,,,,,,,
Q-011,L,Pilihan Ganda,"Sesuai cakupan aspek lingkungan (termasuk limbah B3 dan persampahan), barang bekas operasional HO atau site berikut ini yang WAJIB dimasukkan ke dalam Tempat Penyimpanan Sementara (TPS) Limbah B3 adalah",Sisa kertas cetak (HVS) dan karton dus air mineral,Bekas sayuran dan sisa makanan dari dapur katering,"Tinta/toner printer bekas, baterai laptop usang, dan lampu TL (neon) mati",Palet kayu bekas bongkar muat material ringan,C,10,✅ Ready,,,,,,,,
Q-012,L,Pilihan Ganda,"""Pastikan Tindakan Perbaikan Dilakukan Dengan Tepat Hingga Tuntas"" adalah poin terakhir dalam Pedoman Kerja. Contoh penerapan yang benar dalam aspek pengelolaan lingkungan hidup adalah",Membuang sampah sembarangan dan berasumsi tukang sapu akan menyelesaikannya,Memastikan filter penyaring udara pada knalpot genset yang rusak segera diganti dan alat diuji emisinya kembali hingga lolos baku mutu,Menutup kebocoran pipa solar hanya dengan isolasi ban secara permanen,Menyembunyikan kaleng bahan kimia beracun di semak-semak,B,10,✅ Ready,,,,,,,,
Q-013,L,Pilihan Ganda,Praktik ramah lingkungan (green habit) paling sederhana yang dapat dilakukan oleh departemen non-teknis setiap harinya adalah,Menggunakan tumbler (botol minum isi ulang) secara konsisten untuk mengurangi produksi sampah plastik sekali pakai,Mencetak semua email masuk ke dalam kertas HVS agar lebih mudah dibaca,Membakar sampah plastik di halaman kantor agar tong sampah tidak cepat penuh,Selalu menggunakan sedotan plastik baru setiap kali minum air putih,A,10,✅ Ready,,,,,,,,
Q-014,L,Pilihan Ganda,Mengapa pemisahan sampah organik dari sampah anorganik sangat penting di lingkungan kerja kita? ,Agar tata letak tempat sampah rapih. ,"Karena sampah organik yang tercampur dapat menimbulkan bau tidak sedap, memicu penyakit, dan menghasilkan gas metana berbahaya saat membusuk.",Agar memudahkan pembakaran sampah di area terbuka secara serentak.,Karena sampah anorganik otomatis hancur sendiri dalam waktu satu hari,B,10,✅ Ready,,,,,,,,
Q-015,L,Pilihan Ganda,"Pada pedoman penanggulangan persampahan di fasilitas perusahaan, tempat sampah berwarna Kuning umumnya didedikasikan secara universal untuk menampung jenis sampah","Limbah Organik (Sisa makanan, daun). ",Limbah Medis/B3. ,"Limbah Anorganik/Daur Ulang (Plastik, kaca). ",Limbah Radioaktif,C,10,✅ Ready,,,,,,,,
Q-016,L,Pilihan Ganda,Kepedulian lingkungan bukan hanya urusan SHE. Manakah perilaku di bawah ini yang mencerminkan tanggung jawab lingkungan dari seorang pengemudi/operator alat berat? ,Membuang puntung rokok sembarangan keluar jendela truk saat sedang melintas di area hutan sekitar tambang,Mematikan mesin (turn off engine) saat kendaraan sedang parkir dalam waktu lama (menunggu antrean) untuk menekan emisi gas buang karbon.,Menumpahkan sisa solar ke tanah saat melakukan pengisian bahan bakar darurat. ,Mencuci unit truk langsung di aliran sungai alam,B,10,✅ Ready,,,,,,,,
Q-017,S & H,Benar/Salah,Hak untuk menghentikan pekerjaan (Stop Work Authority) jika melihat bahaya hanya dimiliki oleh Pengawas Lapangan tambang dan tim SHE.,Benar,Salah,,,Salah,5,✅ Ready,,,,,,,,
Q-018,S & H,Benar/Salah,Memaksakan diri bekerja (baik di depan komputer maupun mengoperasikan alat berat) saat sedang sakit atau sangat kurang tidur adalah bentuk pelanggaran terhadap prinsip Fit to Work,Benar,Salah,,,Benar,5,✅ Ready,,,,,,,,
Q-019,S & H,Benar/Salah,"Sebelum mengendarai mobil operasional atau mulai bekerja di area site, kita tidak perlu melakukan pengecekan alat karena yang terpenting adalah berdoa, pengecekan alat murni urusan tim mekanik",Benar,Salah,,,Salah,5,✅ Ready,,,,,,,,
Q-020,S & H,Benar/Salah,"Insiden kecil yang terjadi di area perkantoran, seperti tersandung gulungan kabel yang melintang, wajib dilaporkan agar tidak terulang dan menjadi masalah besar",Benar,Salah,,,Benar ,5,✅ Ready,,,,,,,,
Q-021,S & H,Benar/Salah,Budaya keselamatan (safety culture) yang proaktif dapat menekan potensi terjadinya kecelakaan kerja secara signifikan,Benar,Salah,,,Benar,5,✅ Ready,,,,,,,,
Q-022,L,Benar/Salah,"Aspek lingkungan hidup perusahaan hanya meliputi penanganan air limbah tambang dan limbah B3, masalah persampahan di area kantor HO tidak termasuk di dalamnya",Benar,Salah,,,Salah ,5,✅ Ready,,,,,,,,
Q-023,L,Benar/Salah,Menghemat penggunaan kertas dan mematikan lampu ruang meeting saat tidak digunakan merupakan kontribusi langsung terhadap efisiensi sumber daya dan kelestarian lingkungan,Benar,Salah,,,Benar,5,✅ Ready,,,,,,,,
Q-024,L,Benar/Salah,Membuang sisa kertas fotokopi yang salah cetak atau kardus air mineral ke dalam tong sampah berwarna MERAH (khusus Limbah Beracun/B3) adalah tindakan pemilahan sampah yang tepat,Benar,Salah,,,Salah,5,✅ Ready,,,,,,,,
Q-025,L,Benar/Salah,"Mematikan lampu ruangan kerja, mematikan layar komputer, dan mencabut colokan listrik perangkat yang tidak digunakan saat jam istirahat makan siang merupakan bentuk nyata kepedulian lingkungan",Benar,Salah,,,Benar,5,✅ Ready,,,,,,,,
Q-026,L,Benar/Salah,"Kegiatan menata, memulihkan, dan menghijaukan kembali lahan bekas operasional tambang agar ekosistemnya kembali berfungsi optimal dikenal dengan kewajiban Reklamasi.",Benar,Salah,,,Benar,5,✅ Ready,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
